channel_id,name,creation_date,description,members_count,activity_level,is_private,platform
1,Smith LLC,2023-07-04,Hand main against drug fact.,3884,high,False,Instagram
2,Haley PLC,2023-04-27,Receive hit authority ever common.,144,high,True,Instagram
3,"Anderson, Hughes and Morrison",2021-10-23,South ago face summer.,4448,medium,False,Telegram
4,"Nelson, Bennett and Welch",2022-01-25,Must learn career nice.,2454,medium,True,WhatsApp
5,"Beard, Johnson and Sharp",2021-11-26,Fly fire age night. Can week amount training.,76,high,False,Instagram
6,Wright-Lester,2023-01-13,Act season whether.,1513,high,True,Instagram
7,Newman-Hunter,2022-01-15,Well right at sister specific. Effort win father.,2494,high,True,Telegram
8,Cobb-Griffin,2022-08-15,Live message quickly team probably training.,3113,low,True,Instagram
9,"Pena, Collins and Zhang",2023-09-09,Run instead plan seem population finally staff.,2705,medium,True,Telegram
10,Jackson-Morales,2021-11-11,Fill here determine so born conference growth.,3023,medium,True,Telegram
11,Williams PLC,2024-09-04,Remember rock southern to state thank reach.,2023,high,True,Telegram
12,Rivera and Sons,2020-05-12,Reflect happy time training evening section day.,4031,low,True,Telegram
13,"Hall, Roberts and Grant",2024-09-12,Center away show him than fear back.,3943,high,True,WhatsApp
14,"Torres, Norton and Smith",2024-04-11,Imagine conference mother behind.,4372,high,False,Telegram
15,Morgan-Thompson,2021-08-19,Activity society himself truth.,4467,high,True,Instagram
16,"Compton, Walton and Sims",2023-04-17,Guy see yard lead customer project crime.,2603,medium,False,WhatsApp
17,Roach-Lopez,2023-06-24,Contain family process pressure tree.,4289,medium,True,Telegram
18,"Moon, Farmer and Koch",2023-01-15,Leader if several reason simply.,1890,low,False,Telegram
19,Garcia Inc,2020-05-18,Simple song stop evidence mother situation bag.,4869,high,True,Instagram
20,Flores-Baker,2021-02-19,Top management someone window send analysis.,1854,low,True,Instagram
21,Richardson-Weber,2020-04-16,Open cover lay rock give.,532,low,True,Telegram
22,Santana-Anthony,2022-02-16,Mind best media catch front.,2756,low,True,WhatsApp
23,Thomas PLC,2023-04-04,Student language suggest result.,4026,low,True,Instagram
24,Morrow-Carey,2022-03-05,Amount add two arm behind.,4727,high,False,Telegram
25,Wright PLC,2022-09-12,Fall executive before interest spend.,3924,medium,True,Telegram
26,"Fuller, Lee and Mitchell",2020-05-21,Color single painting customer.,844,high,False,WhatsApp
27,"Gill, Williams and Davis",2021-08-16,Than sound court hope off.,3519,medium,False,Instagram
28,Mejia Inc,2021-11-17,Read simply piece heavy country.,493,high,True,Telegram
29,"Lester, Davis and Terry",2023-11-17,Live price test part teacher.,3348,high,False,Telegram
30,Clark-Wolf,2023-05-30,Sometimes federal fight human take imagine.,2086,low,True,Instagram
31,"Brown, Hess and Gonzalez",2022-07-30,Paper on without.,3725,low,False,Telegram
32,"Frazier, Hinton and Benson",2021-04-16,Really put else thing current later such.,2331,medium,True,Telegram
33,"Gutierrez, Robertson and Castillo",2021-01-29,Exist allow you yard.,3680,high,True,Telegram
34,Owens-Johnson,2022-07-15,Material man relationship have need fund.,4478,low,True,Telegram
35,"Yoder, Poole and Campbell",2021-01-21,Learn sister north small smile strategy less.,1412,medium,False,WhatsApp
36,"Garcia, Hull and Hamilton",2023-04-19,Guy decade good. Yard seek bank sound turn small.,1801,medium,True,Telegram
37,Burns and Sons,2022-06-13,Point throughout wall past player line.,3154,low,False,WhatsApp
38,Brown LLC,2022-05-11,Only since no meeting history them.,3777,medium,False,Instagram
39,"Scott, Cooper and Roy",2020-06-07,Wall discuss skill.,4602,high,False,Telegram
40,"Brown, Johnson and Burton",2020-03-18,Difference stand return scene center like.,1605,medium,True,Telegram
41,"Santiago, Robinson and Pierce",2023-09-06,Place wear financial walk war.,4794,high,True,Instagram
42,Schneider Ltd,2020-09-27,Product buy its.,2619,low,True,Instagram
43,Cross-Hayden,2022-06-04,Lawyer director fight support.,3955,high,True,Telegram
44,King-Simmons,2020-07-24,Impact understand follow picture.,4210,low,True,Telegram
45,Coleman Group,2021-01-27,Throughout number idea less system.,4924,low,True,WhatsApp
46,"Phillips, Johnson and Bowman",2022-02-20,Throw computer race tell anyone.,1032,high,True,Instagram
47,Lee-White,2021-11-07,Lawyer ball research meeting on natural able.,4920,low,True,WhatsApp
48,"Valentine, Smith and Lozano",2022-02-20,Former plant something.,4831,high,False,WhatsApp
49,Hunter PLC,2024-01-03,Generation agency president break page green.,1723,high,False,Telegram
50,Suarez Inc,2020-02-25,Section million player represent nice action.,2225,medium,True,Instagram
